ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Adams,PH012801000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Bacarra,PH012802000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Badoc,PH012803000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Bangui,PH012804000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
City of Batac,PH012805000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Carasi,PH012807000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Currimao,PH012808000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Dingras,PH012809000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Dumalneg,PH012810000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Banna,PH012811000,,Espiritu,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Laoag City,PH012812000,,Capital,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Marcos,PH012813000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Nueva Era,PH012814000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Pagudpud,PH012815000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Paoay,PH012816000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Pasuquin,PH012817000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Piddig,PH012818000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Pinili,PH012819000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
San Nicolas,PH012820000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Sarrat,PH012821000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Solsona,PH012822000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Vintar,PH012823000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Alilem,PH012901000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Banayoyo,PH012902000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Bantay,PH012903000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Burgos,PH012904000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Cabugao,PH012905000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
City of Candon,PH012906000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Caoayan,PH012907000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Cervantes,PH012908000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Galimuyod,PH012909000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Gregorio del Pilar,PH012910000,,Concepcion,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Lidlidda,PH012911000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Magsingal,PH012912000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Nagbukel,PH012913000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Narvacan,PH012914000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Quirino,PH012915000,,Angkaki,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Salcedo,PH012916000,,Baugen,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
San Emilio,PH012917000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
San Esteban,PH012918000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
San Ildefonso,PH012919000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
San Juan,PH012920000,,Lapog,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
San Vicente,PH012921000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Santa,PH012922000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Santa Catalina,PH012923000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Santa Cruz,PH012924000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Santa Lucia,PH012925000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Santa Maria,PH012926000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Santiago,PH012927000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Santo Domingo,PH012928000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Sigay,PH012929000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Sinait,PH012930000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Sugpon,PH012931000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Suyo,PH012932000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Tagudin,PH012933000,,,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
